,日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
90,2015/01/16,陽明,PM2.5,6,7,6,6,7,7,7,8,10,12,16,18,17,0,0,17,16,20,22,19,18,16,17,24
91,2015/01/17,陽明,PM2.5,28,32,38,41,43,57,62,70,57,51,53,58,58,55,55,67,69,68,74,62,54,43,36,29
92,2015/01/18,陽明,PM2.5,29,25,24,25,20,13,10,11,14,14,11,9,8,8,6,7,8,8,9,9,8,13,16,20
93,2015/01/19,陽明,PM2.5,19,21,25,21,18,30,35,41,54,44,33,33,33,36,36,36,36,33,32,32,33,35,28,33
94,2015/01/20,陽明,PM2.5,31,29,29,29,28,30,32,32,31,35,35,33,31,30,32,31,30,28,23,23,23,22,20,18
95,2015/01/21,陽明,PM2.5,14,17,31,29,30,19,7,1,2,9,5,21,14,19,18,28,23,22,32,35,13,22,18,29
96,2015/01/22,陽明,PM2.5,26,33,30,30,32,24,31,33,38,59,55,62,69,68,66,54,49,48,41,35,26,37,21,30
97,2015/01/23,陽明,PM2.5,34,42,36,33,38,41,45,43,39,35,33,34,34,34,34,34,32,31,32,25,28,24,22,23
98,2015/01/24,陽明,PM2.5,29,31,28,28,23,23,23,33,29,28,29,26,23,29,10,39,36,31,1,10,53,26,23,12
99,2015/01/25,陽明,PM2.5,13,10,8,14,9,13,13,18,17,21,23,35,26,23,10,12,13,4,10,9,13,7,13,7
100,2015/01/26,陽明,PM2.5,9,10,8,11,11,13,8,13,10,14,20,20,20,19,20,21,20,11,8,8,6,2,2,4
101,2015/01/27,陽明,PM2.5,4,5,6,2,2,6,2,4,5,2,0,0,0,0,0,0,1,1,1,4,4,2,2,2
102,2015/01/28,陽明,PM2.5,1,4,0,0,2,2,2,2,1,0,0,14,14,0,0,1,1,1,0,1,1,0,0,0
103,2015/01/29,陽明,PM2.5,1,0,0,1,0,4,5,5,8,4,10,9,9,13,13,0,13,0,1,2,1,1,1,1
104,2015/01/30,陽明,PM2.5,4,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0
105,2015/01/31,陽明,PM2.5,0,1,2,4,4,5,5,6,5,4,4,1,1,2,2,2,1,1,2,1,4,0,1,1
106,2015/02/01,陽明,PM2.5,1,0,0,0,0,1,1,2,2,1,2,2,0,0,0,1,1,1,2,2,2,2,4,4
107,2015/02/02,陽明,PM2.5,4,4,6,6,5,6,2,4,2,2,9,10,6,13,13,0,0,1,1,1,1,0,0,0
108,2015/02/03,陽明,PM2.5,1,0,0,1,1,1,0,4,2,2,1,0,0,0,13,12,0,0,0,0,0,0,0,0
109,2015/02/04,陽明,PM2.5,0,0,0,0,0,1,2,4,4,4,0,2,0,0,0,1,4,9,8,11,8,4,6,4
110,2015/02/05,陽明,PM2.5,0,2,1,6,8,8,14,36,46,70,77,63,59,66,71,71,74,74,69,55,57,39,23,18
111,2015/02/06,陽明,PM2.5,17,13,12,14,12,11,2,2,4,1,2,0,0,0,0,0,2,2,2,2,4,1,1,0
112,2015/02/07,陽明,PM2.5,1,1,2,2,4,2,1,1,4,7,13,8,9,13,16,12,12,8,12,8,0,0,0,0
113,2015/02/08,陽明,PM2.5,4,0,0,1,1,7,20,32,32,37,37,38,46,49,54,46,33,34,16,8,7,10,9,5
114,2015/02/09,陽明,PM2.5,7,6,7,6,5,7,7,7,6,5,2,4,14,7,10,10,10,9,6,5,5,6,2,2
115,2015/02/10,陽明,PM2.5,4,2,2,4,4,5,5,4,5,4,4,2,4,2,5,6,6,7,7,6,6,7,5,5
116,2015/02/11,陽明,PM2.5,6,5,7,7,6,8,12,19,14,18,21,29,17,21,19,13,17,11,31,43,48,50,45,47
117,2015/02/12,陽明,PM2.5,51,50,57,45,43,43,47,49,41,39,43,33,37,35,37,36,32,29,33,38,32,31,33,31
118,2015/02/13,陽明,PM2.5,35,30,25,29,31,31,28,29,25,26,31,14,26,26,29,29,29,29,29,31,34,36,34,33
119,2015/02/14,陽明,PM2.5,31,31,30,28,28,30,29,30,30,26,26,31,26,29,26,29,35,32,29,25,26,24,23,17
120,2015/02/15,陽明,PM2.5,12,10,14,16,17,16,16,21,21,14,14,23,24,18,25,14,49,44,29,34,22,21,22,22
121,2015/02/16,陽明,PM2.5,17,13,2,8,1,7,9,13,8,12,6,14,12,14,12,17,0,5,16,22,30,23,26,24
122,2015/02/17,陽明,PM2.5,25,18,17,12,5,13,7,9,9,8,41,39,34,36,35,26,21,17,10,12,23,19,7,4
